2026-07-21 05:10:45 | BLOCKED | 🚫 TERMUX DETECTED - /data/data/com.termux | IP: UNKNOWN | UA: UNKNOWN
2026-07-21 05:12:23 | BLOCKED | 🚫 TERMUX DETECTED - /data/data/com.termux | IP: CLI
2026-07-21 05:12:25 | BLOCKED | 🚫 TERMUX DETECTED - /data/data/com.termux | IP: CLI
2026-07-21 05:14:10 | BLOCKED | 🚫 AUTO CLAIM DETECTED - BLOCKED 1 HOUR | IP: CLI
2026-07-21 05:14:12 | BLOCKED | 🚫 RATE LIMIT - BLOCKED 06:14:10 | IP: CLI
2026-07-21 05:14:14 | BLOCKED | 🚫 RATE LIMIT - BLOCKED 06:14:10 | IP: CLI
2026-07-21 05:14:17 | BLOCKED | 🚫 RATE LIMIT - BLOCKED 06:14:10 | IP: CLI
2026-07-21 05:14:20 | BLOCKED | 🚫 RATE LIMIT - BLOCKED 06:14:10 | IP: CLI
2026-07-21 05:18:49 | BLOCKED | 🚫 AUTO CLAIM DETECTED - BLOCKED 1 HOUR | IP: CLI
2026-07-21 05:18:52 | BLOCKED | 🚫 RATE LIMIT - BLOCKED 06:18:49 | IP: CLI
2026-07-21 05:23:33 | BLOCKED | 🚫 VPN/TUNNEL DETECTED | IP: CLI
2026-07-21 05:23:35 | BLOCKED | 🚫 VPN/TUNNEL DETECTED | IP: CLI
2026-07-21 05:23:36 | BLOCKED | 🚫 VPN/TUNNEL DETECTED | IP: CLI
2026-07-21 05:23:38 | BLOCKED | 🚫 VPN/TUNNEL DETECTED | IP: CLI
2026-07-21 05:23:44 | BLOCKED | 🚫 VPN/TUNNEL DETECTED | IP: CLI
2026-07-21 05:23:46 | BLOCKED | 🚫 VPN/TUNNEL DETECTED | IP: CLI
2026-07-21 05:23:47 | BLOCKED | 🚫 VPN/TUNNEL DETECTED | IP: CLI
2026-07-21 05:23:49 | BLOCKED | 🚫 VPN/TUNNEL DETECTED | IP: CLI
2026-07-21 05:23:52 | BLOCKED | 🚫 VPN/TUNNEL DETECTED | IP: CLI
2026-07-21 05:23:54 | BLOCKED | 🚫 VPN/TUNNEL DETECTED | IP: CLI
2026-07-21 05:23:55 | BLOCKED | 🚫 VPN/TUNNEL DETECTED | IP: CLI
2026-07-21 05:23:57 | BLOCKED | 🚫 VPN/TUNNEL DETECTED | IP: CLI
